timestamp,source,message,suspicious,reason,severity
2023-06-21 10:00:00,INFO,ProcessA: Started service,No,,Low
2023-06-21 10:01:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.100,No,,Low
2023-06-21 10:02:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:03:00,ERROR,Security breach detected in ProcessB,No,,Low
2023-06-21 10:04:00,WARN,ProcessC: High memory usage,No,,Low
2023-06-21 10:05:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.101,No,,Low
2023-06-21 10:06:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:07:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.102,No,,Low
2023-06-21 10:08:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:09:00,ERROR,Malware detected in ProcessC,No,,Low
2023-06-21 10:10:00,INFO,ProcessA: Completed task successfully,No,,Low
2023-06-21 10:11:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.103,No,,Low
2023-06-21 10:12:00,WARN,ProcessC: High memory usage,No,,Low
2023-06-21 10:13:00,ERROR,Malware detected in ProcessA,No,,Low
2023-06-21 10:14:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.104,No,,Low
2023-06-21 10:15:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:16:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.105,No,,Low
2023-06-21 10:17:00,WARN,ProcessB: Low disk space,No,,Low
2023-06-21 10:18:00,ERROR,Malware detected in ProcessB,No,,Low
2023-06-21 10:19:00,INFO,ProcessA: Completed task successfully,No,,Low
2023-06-21 10:20:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.106,No,,Low
2023-06-21 10:21:00,WARN,ProcessC: High memory usage,No,,Low
2023-06-21 10:22:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.107,No,,Low
2023-06-21 10:23:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:24:00,ERROR,Malware detected in ProcessC,No,,Low
2023-06-21 10:25:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.108,No,,Low
2023-06-21 10:26:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:27:00,ERROR,Unauthorized access attempt detected from IP: 192.168.1.109,No,,Low
2023-06-21 10:28:00,INFO,ProcessA: Processing request,No,,Low
2023-06-21 10:29:00,ERROR,Malware detected in ProcessA,No,,Low
2023-06-21 10:30:00,INFO,ProcessA: Completed task successfully,No,,Low
